Zeitschrift gefiltert;Fachbereich;Schlagworte;field;key word
International Journal of Power Management Electronics;Elektrotechnik, Mess- und Regelungstechnik;Elektronik;Electrical engineering, measurement and control technology;electronics
Active and Passive Electronic Components;Elektrotechnik, Mess- und Regelungstechnik;Elektronik;Electrical engineering, measurement and control technology;electronics
Advances in Pharmacological Sciences;Medizin;Pharmakologie;medicine;pharmacology
Scholarly Research Exchange;Allgemeines, Fachübergreifendes;Fachübergreifende Zeitschrift;General, interdisciplinary information;interdisciplinary journal
Journal of Artificial Evolution and Applications;Biologie | Informatik;Bioinformatik | Evolution;Biology | Computer Science;Bioinformatics | Evolution
Texture, Stress, and Microstructure;Maschinenwesen, Werkstoffwissenschaften;Textilforschung;Mechanical Engineering, Materials Science;textile research
International Journal of Plasma Science and Engineering;Physik;Plasmaphysik;physics;plasma physics
X-Ray Optics and Instrumentation;Physik;Optik;physics;optics
Laser Chemistry;Chemie und Pharmazie | Physik;Physikalische Chemie | Lasertechnik;Chemistry and Pharmacy | Physics;Physical Chemistry | Laser Technology
Metal-Based Drugs;Chemie und Pharmazie;Analytische Chemie | Pharmazie;Chemicals and pharmaceuticals;Analytical Chemistry | Pharmacy
Physical Separation in Science and Engineering;Physik | Verfahrenstechnik, Biotechnologie;Technische Physik;Physics | Process Engineering, Biotechnology;Technical Physics
Anesthesiology Research and Practice;Medizin;Anästhesie;medicine;anesthesia
Advances in Tribology;Maschinenwesen, Werkstoffwissenschaften;Tribologie;Mechanical Engineering, Materials Science;tribology
Advances in Urology;Medizin;Urologie;medicine;urology
Bioinorganic Chemistry and Applications;Chemie und Pharmazie;Biochemie;Chemicals and pharmaceuticals;biochemistry
Journal of Biomedicine and Biotechnology;Medizin | Verfahrenstechnik, Biotechnologie;Biomedizin | Biotechnologie;Medicine | Process Engineering, Biotechnology;Biomedicine | Biotechnology
Research Letters in Biochemistry;Biologie  |  Chemie und Pharmazie                    ;Biochemie          ;Biology | Chemistry and Pharmacy                    ;biochemistry          
Current Gerontology and Geriatrics Research;Medizin                    ;Geriatrie          ;medicine                    ;geriatrics          
Computational Intelligence and Neuroscience;Informatik  |  Medizin                    ;Neurologie  |  Künstliche Intelligenz          ;Computer Science | Medicine                    ;Neurology | Artificial Intelligence          
Discrete Dynamics in Nature and Society;Mathematik                    ;Diskrete Mathematik          ;mathematics                    ;Discrete Mathematics          
Diagnostic and Therapeutic Endoscopy;Medizin                    ;Innere Medizin  |  Endoskopie          ;medicine                    ;Internal Medicine | Endoscopy          
Gastroenterology Research and Practice;Medizin                    ;Gastroenterologie          ;medicine                    ;gastroenterology          
HPB Surgery;Medizin                    ;Chirurgie          ;medicine                    ;surgery          
Infectious Diseases in Obstetrics and Gynecology;Medizin                    ;Gynäkologie und Geburtshilfe          ;medicine                    ;Gynaecology and obstetrics          
International Journal of Aerospace Engineering;Maschinenwesen, Werkstoffwissenschaften                    ;Luftfahrttechnik          ;Mechanical Engineering, Materials Science                    ;aeronautical engineering          
International Journal of Antennas and Propagation;Elektrotechnik,  Mess- und Regelungstechnik                    ;Nachrichtentechnik          ;Electrical engineering, measurement and control technology                    ;communications engineering          
International Journal of Biomedical Imaging;Medizin                    ;Biomedizin          ;medicine                    ;biomedicine          
International Journal of Biomedical;Biologie  |  Chemie und Pharmazie                    ;Biochemie  |  Pharmazie          ;Biology | Chemistry and Pharmacy                    ;Biochemistry | Pharmacy          
Imaging;Medizin                    ;Radiologie          ;medicine                    ;radiology          
International Journal of Chemical Engineering;Chemie und Pharmazie  |  Verfahrenstechnik, Biotechnologie                    ;Chemische Technik          ;Chemistry and pharmaceutics | Process engineering, biotechnology                    ;Chemical Engineering          
International Journal of Computer Games Technology;Informatik                    ;Computerspiele          ;computer science                    ;computer games          
Differential Equations and Nonlinear Mechanics;Mathematik                    ;Analysis          ;mathematics                    ;analysis          
International Journal of Digital Multimedia Broadcasting;Informatik                    ;Multimedia          ;computer science                    ;multimedia          
Research Letters in Ecology;Biologie  |  Energie, Umweltschutz, Kerntechnik                    ;Allgemeine Ökologie          ;Biology | Energy, Environmental Protection, Nuclear Technology                    ;General Ecology          
Comparative and Functional Genomics;Biologie  |  Medizin                    ;Molekularbiologie  |  Humanbiologie          ;Biology | Medicine                    ;Molecular Biology | Human Biology          
Research Letters in Inorganic Chemistry;Chemie und Pharmazie                    ;Anorganische Chemie          ;Chemicals and pharmaceuticals                    ;Inorganic Chemistry          
International Journal of Mathematics and Mathematical Sciences;Mathematik                    ;Allgemeine mathematische Zeitschriften          ;mathematics                    ;General mathematical journals          
International Journal of Microwave Science and Technology;Elektrotechnik,  Mess- und Regelungstechnik                    ;Mikrowellentechnik          ;Electrical engineering, measurement and control technology                    ;microwave technology          
International Journal of Navigation and Observation;Architektur, Bauingenieur- und Vermessungswesen  |  Geowissenschaften                    ;Geodäsie          ;Architecture, Civil Engineering and Surveying | Geosciences                    ;geodesy          
Research Letters in Optics;Physik                    ;Optik          ;physics                    ;optics          
Advances in Nonlinear Optics;Physik                    ;Optik          ;physics                    ;optics          
International Journal of Photoenergy;Elektrotechnik,  Mess- und Regelungstechnik  |  Energie, Umweltschutz, Kerntechnik                    ;Elektrische Energietechnik          ;Electrical engineering, measurement and control technology | Energy, environmental protection, nuclear engineering                    ;Electrical energy technology          
International Journal of Plant Genomics;Land- und Forstwirtschaft u.a.                    ;Pflanzenbau          ;Agriculture and forestry etc.                    ;plant production          
International Journal of Reconfigurable Computing;Informatik                    ;Allgemeine Informatik          ;computer science                    ;General Information Technology          
International Journal of Rotating Machinery;Maschinenwesen, Werkstoffwissenschaften;;Mechanical Engineering, Materials Science;
Journal of Applied Mathematics and Stochastic Analysis;Mathematik                    ;Angewandte Mathematik  |  Wahrscheinlichkeitsrechnung          ;mathematics                    ;Applied Mathematics | Probability calculus          
International Journal of Telemedicine and Applications;Medizin                    ;Telemedizin          ;medicine                    ;telemedicine          
International Journal of Vehicular Technology;Maschinenwesen, Werkstoffwissenschaften                    ;Fahrzeugtechnik          ;Mechanical Engineering, Materials Science                    ;automotive engineering          
Interdisciplinary Perspectives on Infectious Diseases;Medizin                    ;Infektionskrankheiten          ;medicine                    ;infectious diseases          
Journal of Applied Mathematics;Mathematik                    ;Angewandte Mathematik          ;mathematics                    ;Applied Mathematics          
Journal of Automated Methods and Management in Chemistry;Chemie und Pharmazie                    ;Analytische Chemie          ;Chemicals and pharmaceuticals                    ;Analytical Chemistry          
Journal of Biophysics;Physik                    ;Biophysik          ;physics                    ;biophysics          
International Journal of Reacting Systems;Chemie und Pharmazie                    ;Analytische Chemie          ;Chemicals and pharmaceuticals                    ;Analytical Chemistry          
Journal of Cancer Epidemiology;Medizin                    ;Epidemiologie  |  Onkologie          ;medicine                    ;Epidemiology | Oncology          
Journal of Computer Systems, Networks, and Communications;Informatik                    ;Netzwerke          ;computer science                    ;networks          
Journal of Control Science and Engineering;Technik allgemein                    ;Sicherheitstechnik          ;General technology                    ;safety engineering          
Experimental Diabetes Research;Medizin                    ;Diabetologie          ;medicine                    ;diabetology          
Research Letters in Communications;Medien- und Kommunikationswissenschaften, Publizistik                    ;Kommunikationswissenschaften          ;Media and Communication Sciences, Journalism                    ;communication sciences          
Research Letters in Signal Processing;Elektrotechnik,  Mess- und Regelungstechnik                    ;Signalverarbeitung          ;Electrical engineering, measurement and control technology                    ;signal processing          
Clinical and Developmental Immunology;Medizin                    ;Immunologie          ;medicine                    ;immunology          
Journal of Nanomaterials;Maschinenwesen, Werkstoffwissenschaften                    ;Nanotechnologie          ;Mechanical Engineering, Materials Science                    ;nanotechnology          
Research Letters in Nanotechnology;Physik                    ;Nanotechnologie          ;physics                    ;nanotechnology          
Journal of Oncology;Medizin                    ;Onkologie          ;medicine                    ;oncology          
International Journal of Quality, Statistics, and Reliability;Mathematik                    ;Mathematische Statistik          ;mathematics                    ;Mathematical Statistics          
Journal of Sensors;Elektrotechnik,  Mess- und Regelungstechnik                    ;Regelungstechnik          ;Electrical engineering, measurement and control technology                    ;control engineering          
Mediators of Inflammation;Medizin                    ;Allgemeine medizinische Zeitschriften          ;medicine                    ;General medical journals          
Mathematical Problems in Engineering;Mathematik  |  Technik allgemein                    ;Ingenieurmathematik          ;Mathematics | General Technology                    ;engineering mathematics          
Modelling and Simulation in Engineering;Informatik  |  Technik allgemein                    ;Computeranwendung in den Ingenieurwissenschaften          ;Computer Science | General Engineering                    ;Computer application in engineering sciences          
Neural Plasticity;Medizin                    ;Neurologie          ;medicine                    ;neurology          
Research Letters in Organic Chemistry;Chemie und Pharmazie                    ;Organische Chemie          ;Chemicals and pharmaceuticals                    ;Organic Chemistry          
Research Letters in Physics;Physik                    ;Allgemeine Physik          ;physics                    ;General Physics          
PPAR Research;Medizin                    ;Zellbiologie  |  Pharmakologie          ;medicine                    ;Cell Biology | Pharmacology          
Sarcoma;Medizin                    ;Onkologie          ;medicine                    ;oncology          
Science and Technology of Nuclear Installations;Energie, Umweltschutz, Kerntechnik                    ;Kerntechnik          ;Energy, environmental protection, nuclear technology                    ;nuclear engineering          
VLSI Design;Elektrotechnik,  Mess- und Regelungstechnik                    ;Systemtheorie          ;Electrical engineering, measurement and control technology                    ;systems theory          
Advances in Artificial Neural Systems;Informatik                    ;Künstliche Intelligenz          ;computer science                    ;Artificial Intelligence          
